Year,In Minority
2004,0.16666666666666666
2005,0.05555555555555555
2006,0.12
2007,0.06172839506172839
2008,0.02631578947368421
2009,0.04411764705882353
2010,0.01950354609929078
2011,0.0701468189233279
2012,0.06789178152118427
2013,0.07394894894894895
2014,0.06705539358600583
2015,0.07737440410707737
2016,0.07
2017,0.07470870459218643
2018,0.07406143344709898
2019,0.06694873071179691
2020,0.07521998296906046
2021,0.07246376811594203
2022,0.0753528773072747
2023,0.07064220183486239
2024,0.08098891730605286
