Event Title,Event Date,Location,Judge Name,Fighter 1 Name,Fighter 2 Name,Round,Fighter 1 Score,Fighter 2 Score,Fight ID,Round Count,In Minority,Rounds_Judged,Year,Judge Year Count,Rounds_Judged_SoFar
UFC 94: St. Pierre vs. Penn 2,2009-01-31,"Las Vegas, Nevada, USA",Cecil Peoples,Fitch,Gono,3,10.0,9,3192,2,0,170,2009,35,24
UFC 94: St. Pierre vs. Penn 2,2009-01-31,"Las Vegas, Nevada, USA",Cecil Peoples,Fitch,Gono,2,10.0,9,3192,2,0,170,2009,35,25
UFC 94: St. Pierre vs. Penn 2,2009-01-31,"Las Vegas, Nevada, USA",Cecil Peoples,Fitch,Gono,1,10.0,9,3192,2,0,170,2009,35,26
UFC 96: Jackson vs. Jardine,2009-03-07,"Columbus, Ohio, USA",Nelson Hamilton,Maynard,Miller,3,10.0,9,3197,4,0,153,2009,32,20
UFC 96: Jackson vs. Jardine,2009-03-07,"Columbus, Ohio, USA",Nelson Hamilton,Maynard,Miller,2,10.0,9,3197,4,0,153,2009,32,21
UFC 96: Jackson vs. Jardine,2009-03-07,"Columbus, Ohio, USA",Nelson Hamilton,Maynard,Miller,1,10.0,9,3197,4,0,153,2009,32,22
UFN 18: Condit vs. Kampmann,2009-04-01,"Nashville, Tennessee, USA",Cecil Peoples,Kampmann,Condit,2,9.0,10,4910,4,0,170,2009,35,27
UFN 18: Condit vs. Kampmann,2009-04-01,"Nashville, Tennessee, USA",Nelson Hamilton,Griffin,dos Anjos,3,10.0,9,4909,4,0,153,2009,32,23
UFN 18: Condit vs. Kampmann,2009-04-01,"Nashville, Tennessee, USA",Nelson Hamilton,Griffin,dos Anjos,2,10.0,9,4909,4,0,153,2009,32,24
UFN 18: Condit vs. Kampmann,2009-04-01,"Nashville, Tennessee, USA",Nelson Hamilton,Griffin,dos Anjos,1,10.0,9,4909,4,0,153,2009,32,25
UFN 18: Condit vs. Kampmann,2009-04-01,"Nashville, Tennessee, USA",Cecil Peoples,Griffin,dos Anjos,3,10.0,9,4909,4,0,170,2009,35,28
