Judge Name,Year,In Minority Ratio
Adalaide Byrd,2012,0.21212121212121213
Jerin Valel,2021,0.20512820512820512
Aaron Chatfield,2012,0.18181818181818182
Dave Hagen,2011,0.16666666666666666
Michael Bell,2018,0.16417910447761194
Glenn Trowbridge,2018,0.1590909090909091
Cardo Urso,2015,0.1527777777777778
Barry Foley,2015,0.15217391304347827
Mike Williams,2022,0.15151515151515152
Marcel Varela,2021,0.14705882352941177
David Lethaby,2020,0.14583333333333334
Jacob Montalvo,2023,0.13636363636363635
Mark Collett,2015,0.13559322033898305
Mark Craig,2015,0.13513513513513514
Felicia Oh,2023,0.13333333333333333
Paul Sutherland,2019,0.13333333333333333
Evan Field,2019,0.13333333333333333
Ben Cartlidge,2013,0.13259668508287292
Guilherme Bravo,2013,0.13157894736842105
Derek Cleary,2024,0.13043478260869565
Lester Griffin,2011,0.1282051282051282
David Peabody,2020,0.1282051282051282
John Rupert,2021,0.1282051282051282
Dave Hagen,2019,0.1282051282051282
Clemens Werner,2022,0.1276595744680851
Vinicius Lins,2014,0.1276595744680851
Steven Graham,2020,0.12727272727272726
Tony Weeks,2013,0.12195121951219512
Steve Armstrong,2022,0.12121212121212122
Rick Winter,2023,0.12121212121212122
Dave Tirelli,2019,0.12101910828025478
Douglas Crosby,2018,0.12
Anthony Maness,2019,0.11764705882352941
Lukasz Porebski,2019,0.11764705882352941
Anthony Maness,2022,0.11688311688311688
Filip Niemkowicz,2021,0.11627906976744186
Howard Hughes,2015,0.11428571428571428
Michael Bell,2015,0.11320754716981132
Derek Cleary,2013,0.11290322580645161
Cardo Urso,2017,0.1111111111111111
Cezary Wojciechowski,2019,0.1111111111111111
Clemens Werner,2021,0.1111111111111111
Chris Lee,2012,0.1111111111111111
Adalaide Byrd,2024,0.1111111111111111
Dave Moretti,2015,0.1111111111111111
Dave Hagen,2020,0.10810810810810811
Brian Puccillo,2018,0.10810810810810811
Mark Collett,2012,0.10638297872340426
Steven Graham,2019,0.10638297872340426
Ben Cartlidge,2021,0.10619469026548672
Cardo Urso,2012,0.10606060606060606
Marcos Rosales,2016,0.10526315789473684
Adalaide Byrd,2015,0.10526315789473684
Marcos Rosales,2018,0.1044776119402985
Derek Cleary,2017,0.10344827586206896
Dave Tirelli,2020,0.10317460317460317
Roy Silbert,2015,0.10256410256410256
Dean Weir,2013,0.1016949152542373
Jerin Valel,2020,0.1016949152542373
Kevin Champion,2019,0.1016949152542373
Chris Lee,2015,0.1
Marcos Rosales,2014,0.1
Junichiro Kamijo,2014,0.1
Ben Cartlidge,2024,0.09859154929577464
Chris Leben,2023,0.09803921568627451
Chris Lee,2020,0.09696969696969697
Tony Weeks,2014,0.0963855421686747
Eric Colón,2021,0.09615384615384616
Junichiro Kamijo,2012,0.09615384615384616
Mark Collett,2018,0.09523809523809523
Jon Marigliano,2023,0.09523809523809523
Bartlomiej Czajka,2022,0.09433962264150944
Nelson Hamilton,2009,0.09375
Glenn Trowbridge,2016,0.09375
Szymon Bonkowski,2021,0.09375
Aladin Martinez,2014,0.09375
Adalaide Byrd,2021,0.09375
Eric Colón,2017,0.09230769230769231
Cardo Urso,2014,0.09210526315789473
Derek Cleary,2022,0.09126984126984126
Patricia Morse Jarman,2016,0.09090909090909091
Adalaide Byrd,2023,0.09090909090909091
Douglas Crosby,2017,0.09090909090909091
Marcos Rosales,2017,0.09090909090909091
Monika Ridgeway,2022,0.09090909090909091
Lester Griffin,2015,0.09090909090909091
Junichiro Kamijo,2024,0.09090909090909091
Joseph Terrell,2016,0.09090909090909091
Derek Cleary,2015,0.08974358974358974
Rick Winter,2021,0.08974358974358974
Eric Colón,2023,0.08928571428571429
Chris Lee,2014,0.0891089108910891
Sal D'Amato,2013,0.08904109589041095
Paul Sutherland,2016,0.08888888888888889
Richard Bertrand,2013,0.08888888888888889
Eric Colón,2022,0.08888888888888889
Marcos Rosales,2012,0.08823529411764706
Dave Tirelli,2021,0.08823529411764706
Kevin Champion,2020,0.08695652173913043
Michael Bell,2016,0.08695652173913043
Troy Wincapaw,2021,0.08620689655172414
Dave Tirelli,2022,0.08620689655172414
Greg DiVilbiss,2020,0.08620689655172414
Charlie Keech,2017,0.08571428571428572
