Judge Name,Year,In Minority Ratio
Nelson Hamilton,2009,0.09375
Cecil Peoples,2009,0.0
Nelson Hamilton,2010,0.02
Cecil Peoples,2010,0.0
Sal D'Amato,2010,0.0
Dave Hagen,2011,0.16666666666666666
Lester Griffin,2011,0.1282051282051282
Nelson Hamilton,2011,0.08571428571428572
Adalaide Byrd,2011,0.0784313725490196
Tony Weeks,2011,0.07575757575757576
Douglas Crosby,2011,0.07017543859649122
Glenn Trowbridge,2011,0.06741573033707865
Junichiro Kamijo,2011,0.06666666666666667
Sal D'Amato,2011,0.04838709677419355
Chris Lee,2011,0.04
Adalaide Byrd,2012,0.21212121212121213
Aaron Chatfield,2012,0.18181818181818182
Chris Lee,2012,0.1111111111111111
Mark Collett,2012,0.10638297872340426
Cardo Urso,2012,0.10606060606060606
Junichiro Kamijo,2012,0.09615384615384616
Marcos Rosales,2012,0.08823529411764706
Sal D'Amato,2012,0.08411214953271028
Patricia Morse Jarman,2012,0.07317073170731707
Susan Thomas-Gitlin,2012,0.06451612903225806
Ben Cartlidge,2013,0.13259668508287292
Guilherme Bravo,2013,0.13157894736842105
Tony Weeks,2013,0.12195121951219512
Derek Cleary,2013,0.11290322580645161
Dean Weir,2013,0.1016949152542373
Sal D'Amato,2013,0.08904109589041095
Richard Bertrand,2013,0.08888888888888889
Glenn Trowbridge,2013,0.0851063829787234
Chris Lee,2013,0.08450704225352113
Chris Watts,2013,0.08333333333333333
Vinicius Lins,2014,0.1276595744680851
Marcos Rosales,2014,0.1
Junichiro Kamijo,2014,0.1
Tony Weeks,2014,0.0963855421686747
Aladin Martinez,2014,0.09375
Cardo Urso,2014,0.09210526315789473
Chris Lee,2014,0.0891089108910891
Cezary Wojciechowski,2014,0.08571428571428572
Dave Tirelli,2014,0.08571428571428572
Dave Moretti,2014,0.08333333333333333
Cardo Urso,2015,0.1527777777777778
Barry Foley,2015,0.15217391304347827
Mark Collett,2015,0.13559322033898305
Mark Craig,2015,0.13513513513513514
Howard Hughes,2015,0.11428571428571428
Michael Bell,2015,0.11320754716981132
Dave Moretti,2015,0.1111111111111111
Adalaide Byrd,2015,0.10526315789473684
Roy Silbert,2015,0.10256410256410256
Chris Lee,2015,0.1
Marcos Rosales,2016,0.10526315789473684
Glenn Trowbridge,2016,0.09375
Patricia Morse Jarman,2016,0.09090909090909091
Joseph Terrell,2016,0.09090909090909091
Paul Sutherland,2016,0.08888888888888889
Michael Bell,2016,0.08695652173913043
Adalaide Byrd,2016,0.08
Sal D'Amato,2016,0.0759493670886076
Junichiro Kamijo,2016,0.07017543859649122
Tony Weeks,2016,0.06796116504854369
Cardo Urso,2017,0.1111111111111111
Derek Cleary,2017,0.10344827586206896
Eric Colón,2017,0.09230769230769231
Douglas Crosby,2017,0.09090909090909091
Marcos Rosales,2017,0.09090909090909091
Charlie Keech,2017,0.08571428571428572
Kon Papaioannou,2017,0.08571428571428572
Jeff Mullen,2017,0.08235294117647059
David Lethaby,2017,0.06862745098039216
Ben Cartlidge,2017,0.0625
Michael Bell,2018,0.16417910447761194
Glenn Trowbridge,2018,0.1590909090909091
Douglas Crosby,2018,0.12
Brian Puccillo,2018,0.10810810810810811
Marcos Rosales,2018,0.1044776119402985
Mark Collett,2018,0.09523809523809523
Ben Cartlidge,2018,0.07518796992481203
Sal D'Amato,2018,0.07048458149779736
David Lethaby,2018,0.06818181818181818
Guilherme Bravo,2018,0.0625
Paul Sutherland,2019,0.13333333333333333
Evan Field,2019,0.13333333333333333
Dave Hagen,2019,0.1282051282051282
Dave Tirelli,2019,0.12101910828025478
Anthony Maness,2019,0.11764705882352941
Lukasz Porebski,2019,0.11764705882352941
Cezary Wojciechowski,2019,0.1111111111111111
Steven Graham,2019,0.10638297872340426
Kevin Champion,2019,0.1016949152542373
David Lethaby,2019,0.07729468599033816
David Lethaby,2020,0.14583333333333334
David Peabody,2020,0.1282051282051282
Steven Graham,2020,0.12727272727272726
Dave Hagen,2020,0.10810810810810811
Dave Tirelli,2020,0.10317460317460317
Jerin Valel,2020,0.1016949152542373
Chris Lee,2020,0.09696969696969697
Kevin Champion,2020,0.08695652173913043
Greg DiVilbiss,2020,0.08620689655172414
Vito Paolillo,2020,0.08333333333333333
Jerin Valel,2021,0.20512820512820512
Marcel Varela,2021,0.14705882352941177
John Rupert,2021,0.1282051282051282
Filip Niemkowicz,2021,0.11627906976744186
Clemens Werner,2021,0.1111111111111111
Ben Cartlidge,2021,0.10619469026548672
Eric Colón,2021,0.09615384615384616
Szymon Bonkowski,2021,0.09375
Adalaide Byrd,2021,0.09375
Rick Winter,2021,0.08974358974358974
Mike Williams,2022,0.15151515151515152
Clemens Werner,2022,0.1276595744680851
Steve Armstrong,2022,0.12121212121212122
Anthony Maness,2022,0.11688311688311688
Bartlomiej Czajka,2022,0.09433962264150944
Derek Cleary,2022,0.09126984126984126
Monika Ridgeway,2022,0.09090909090909091
Eric Colón,2022,0.08888888888888889
Dave Tirelli,2022,0.08620689655172414
Douglas Crosby,2022,0.0847457627118644
Jacob Montalvo,2023,0.13636363636363635
Felicia Oh,2023,0.13333333333333333
Rick Winter,2023,0.12121212121212122
Chris Leben,2023,0.09803921568627451
Jon Marigliano,2023,0.09523809523809523
Adalaide Byrd,2023,0.09090909090909091
Eric Colón,2023,0.08928571428571429
Bryan Miner,2023,0.07453416149068323
Derek Cleary,2023,0.07279693486590039
Ben Cartlidge,2023,0.07024793388429752
Derek Cleary,2024,0.13043478260869565
Adalaide Byrd,2024,0.1111111111111111
Ben Cartlidge,2024,0.09859154929577464
Junichiro Kamijo,2024,0.09090909090909091
Chris Lee,2024,0.075
Sal D'Amato,2024,0.07272727272727272
David Lethaby,2024,0.07142857142857142
Eric Colón,2024,0.05970149253731343
Michael Bell,2024,0.030612244897959183
